,r,Mmax
0,0.9611003941468146,0.8246545143268686
0,0.2827527999433913,0.8531371171801541
0,0.6055765812731393,0.8684668394613726
0,0.7269977902162512,0.8708910736413377
0,0.7691163272353859,0.7817423329086709
0,0.23567594493694172,0.8743890730543571
0,1.182753105241333,0.8571670790508319
0,0.4629203263936169,0.8867296282827897
0,0.46662485426463585,0.7933144803812078
0,0.39506305875536535,0.9012150273591917
0,1.0446258550215288,0.816428420896099
0,0.5494951782240388,0.7641722414244533
0,0.4045064500983089,0.7939734543848465
0,0.4734116572163958,0.7655584115495375
0,0.14703342820879473,0.5267867174758264
0,1.3445591953195324,0.8761453094276995
0,0.745476298541991,0.8145377103578
0,0.07595630326290119,0.8439979042861987
0,1.3544518547087172,0.854520644743279
0,0.4661586510355055,0.7293342712441522
0,0.6928136734440303,0.7707943368165767
0,1.1977005548387427,0.7306568710753542
0,1.0068497830496914,0.7820919842816001
0,0.8733260343830839,0.7239031271032069
0,0.603707785694591,0.8133958912072362
0,0.14298102253660314,0.8258542801894642
0,0.7296204839683305,0.8403729306603203
0,1.472812550548225,0.7893924906801231
0,0.407084940293191,0.7592346282773339
0,0.9072534531239501,0.9041155373762428
0,1.0621375470468026,0.7864887852397622
0,1.2614670845545184,0.7429516583351625
0,0.2693311582396176,0.66573385151306
0,0.6047269593231369,0.8390269834065475
0,0.21417865296636482,0.8987460146891345
0,0.882833264079122,0.8212944691493591
0,1.1623234941962437,0.7553074598754588
0,0.4610355872005322,0.7511321866084403
0,0.8393803690504656,0.8674637653461396
0,1.1304172231901224,0.8885881474793875
0,0.26091774669041745,0.7559499063106199
0,1.4089657194871157,0.7941764953590824
0,1.137754856228943,0.7431400488735702
0,1.8229084868743621,0.8273536006868791
0,1.2490064991471181,0.7740452975226647
0,0.9392803014347503,0.726002016581131
0,0.6678513128331158,0.7747381555624685
0,-0.00019200364360886675,0.8055158475438257
0,1.2542775944040547,0.7363612878718718
0,0.9167579539088022,0.7594908390543257
0,0.21471135514799358,0.7848331770334204
0,0.663001247927139,0.8545105499327783
0,1.0389139363858504,0.8094621331738914
0,0.4018399493461531,0.7282214615947413
0,1.6804057761774673,0.8250426729802403
0,1.1132354290527942,0.7850335051682065
0,0.9385053458201379,0.8281821025730716
0,0.27814811624975033,0.7949556743955418
0,1.537208610857844,0.7428515522713711
0,0.9496774761445924,0.8321397425479727
0,1.1789192723656006,0.8431124025115962
0,1.145780566265246,0.7189809642810878
0,1.2777484424035264,0.7209080702112163
0,1.0153521001636556,0.8496010922960612
0,0.9050674912414817,0.851955224343027
0,0.8601578920421988,0.8096898027944093
0,0.3833492636612789,0.8457893343262549
0,0.6212025913530219,0.7580465139169053
0,0.5029101223237278,0.747551787600825
0,1.1316010292021632,0.7168496647324772
0,0.24270733480629392,0.8323687552714691
0,0.7212849612406164,0.8331510857654055
0,0.5116770406624396,0.802157620825545
0,1.0210365382472697,0.7571062718269107
0,2.2171705600237894,0.7865818602337182
0,0.4338072322899733,0.884679782499537
0,0.6010550102538311,0.8071872337090836
0,0.9945298701207291,0.8755612155525485
0,0.5972039649734896,0.8816140540067883
0,0.30491692287639066,0.8185586265282563
0,0.5111538978590491,0.8138194263548176
0,1.0097141196534614,0.865177685023032
0,1.2708985953037764,0.8138339028486286
0,1.2647267658767847,0.7530449626700185
0,1.0978447657914252,0.7764682762555618
0,0.42877924526268574,0.8168069363498833
0,0.71926617761551,0.9012136303048828
0,1.5122472188267662,0.8921201555808579
0,1.172571917413671,0.8563447120289392
0,0.6445826162668628,0.7663539997684247
0,-0.00038002523707826894,0.9884897594332515
0,0.4803635861612559,0.7581217201140028
0,0.856526036069255,0.7835074476741437
0,0.9492120953802511,0.8930668771752625
0,0.5780599221736015,0.7370690973325615
0,0.808243528834978,0.8230433679981048
0,1.2645794919778663,0.7281028192353144
0,0.990988443536293,0.8135944942924384
0,0.7852308915261528,0.7878734311834944
0,1.0312023329731528,0.742877507078864
0,0.19738040812151275,0.704906447538097
0,0.6054499442042374,0.7820550511573561
0,0.6194508120863578,0.7591330632763228
